label,name,lineage,accession,animal
Bat_coronavirus_RaTG13,R. affinis RaTG13,,MN996532.2,bat
Guangdong_Pangolin_1_2019,Guangdong -1,,EPI_ISL_410721,pangolin
MP789_pangolin_MT121216.1,MP789,,MT121216.1,pangolin
RShSTT182_bat_EPI_ISL_852604,R. shameli RShSTT182,,EPI_ISL_852604,bat
hu_reference_genome_NC_045512.2,SARS-CoV-2 Reference,,NC_045512.2,human
hu_variant_A.1_EPI_ISL_417081,Lineage A.1,A.1,EPI_ISL_417081,human
hu_variant_A.1_EPI_ISL_417159,Lineage A.1,A.1,EPI_ISL_417159,human
hu_variant_A_EPI_ISL_407071,Lineage A.1,A,EPI_ISL_407071,human
hu_variant_A_EPI_ISL_412028,Lineage A,A,EPI_ISL_407071,human
hu_variant_B.1.1.159_EPI_ISL_9232040,Omicron,B.1.1.159,EPI_ISL_9232040,human
hu_variant_B.1.1.159_EPI_ISL_9457986,Omicron,B.1.1.159,EPI_ISL_9457986,human
hu_variant_B.1.1.159_EPI_ISL_9902084,Omicron,B.1.1.159,EPI_ISL_9902084,human
hu_variant_B.1.1.7_MZ414247,Alpha,B.1.1.7,MZ414247,human
hu_variant_B.1.1.7_MZ414251,Alpha,B.1.1.7,MZ414251,human
hu_variant_B.1.1.7_MZ414253,Alpha,B.1.1.7,MZ414253,human
hu_variant_B.1.351_MZ394580,Beta,B.1.351,MZ394580,human
hu_variant_B.1.351_MZ401461,Beta,B.1.351,MZ401461,human
hu_variant_B.1.351_MZ413998,Beta,B.1.351,MZ413998,human
hu_variant_B.1.427_MZ414526,Epsilon,B.1.427,MZ414526,human
hu_variant_B.1.427_MZ414531,Epsilon,B.1.427,MZ414531,human
hu_variant_B.1.427_MZ414538,Epsilon,B.1.427,MZ414538,human
hu_variant_B.1.429_MZ414410,Epsilon,B.1.429,MZ414410,human
hu_variant_B.1.429_MZ414449,Epsilon,B.1.429,MZ414449,human
hu_variant_B.1.429_MZ414471,Epsilon,B.1.429,MZ414471,human
hu_variant_B.1.525_MZ412141,Eta,B.1.525,MZ412141,human
hu_variant_B.1.525_MZ414722,Eta,B.1.525,MZ414722,human
hu_variant_B.1.525_MZ415454,Eta,B.1.525,MZ415454,human
hu_variant_B.1.526_MZ414277,Iota,B.1.526,MZ414277,human
